index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1138,Jonathan,2020-09-30T17:46:39Z,49690682.835999966,119.91799998283386,1.998633333047231
1139,Klara,2020-09-30T17:44:39Z,49690562.91799998,87.21799993515015,1.4536333322525024
1140,Jonathan,2020-09-30T17:43:12Z,49690475.70000005,NA,NA
1141,Jonathan,2020-09-30T17:26:54Z,49689497.71899986,76.38199996948242,1.273033332824707
1142,Klara,2020-09-30T17:25:37Z,49689421.33699989,321.1380000114441,5.352300000190735
1143,Jonathan,2020-09-30T17:20:16Z,49689100.19899988,122.29900002479553,2.0383166670799255
1144,Klara,2020-09-30T17:18:14Z,49688977.89999986,150.71999979019165,2.511999996503194
1145,Jonathan,2020-09-30T17:15:43Z,49688827.18000007,251.16100001335144,4.1860166668891905
1146,Klara,2020-09-30T17:11:32Z,49688576.01900005,223.57200002670288,3.726200000445048
1147,Jonathan,2020-09-30T17:07:48Z,49688352.44700003,64.63600015640259,1.0772666692733766
1148,Klara,2020-09-30T17:06:44Z,49688287.81099987,1619.0999999046326,26.984999998410544
1149,Jonathan,2020-09-30T16:39:45Z,49686668.710999966,NA,NA
1150,Jonathan,2020-09-30T16:10:12Z,49684895.98000002,31055.223999977112,517.5870666662852
1151,Klara,2020-09-30T07:32:37Z,49653840.75600004,38078.144000053406,634.6357333342235
1152,Jonathan,2020-09-29T20:57:58Z,49615762.61199999,1189.0569999217987,19.81761666536331
1153,Klara,2020-09-29T20:38:09Z,49614573.55500007,690.3719999790192,11.506199999650319
1154,Jonathan,2020-09-29T20:26:39Z,49613883.18300009,1782.616000175476,29.710266669591267
1155,Klara,2020-09-29T19:56:56Z,49612100.56699991,NA,NA
1156,Klara,2020-09-29T19:05:01Z,49608984.667000055,NA,NA
1157,Klara,2020-09-29T19:02:21Z,49608825.612999916,438.65899991989136,7.310983331998189
1158,Jonathan,2020-09-29T18:55:03Z,49608386.953999996,417.09100008010864,6.951516668001811
1159,Klara,2020-09-29T18:48:06Z,49607969.862999916,135.40400004386902,2.2567333340644837
1160,Jonathan,2020-09-29T18:45:50Z,49607834.45899987,NA,NA
1161,Jonathan,2020-09-29T18:45:43Z,49607826.63800001,467.93499994277954,7.7989166657129925
1162,Klara,2020-09-29T18:37:55Z,49607358.70300007,NA,NA
1163,Klara,2020-09-29T18:30:02Z,49606886.40299988,NA,NA
1164,Klara,2020-09-29T18:27:58Z,49606762.447999954,318.2660000324249,5.304433333873749
1165,Jonathan,2020-09-29T18:22:40Z,49606444.18199992,1290.9219999313354,21.515366665522258
